__Recipe,,Table 1,Array 1,Table 3,Table 4,Table 5,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz,RECIPE NAME:,Missing purchase quantity of ingredient,Missing unitary cost of ingredient,0,-,D,Chirashi sushi,Sashimi platter,Bonsai Kaiko,Bonsai Sushi 12,Bonsai Rolls 20,BENTO 15,BENTO 18,Blu fin toro.S,Salmon.S,Tuna.S,Hamachi,Tarta Vasca,Mochis,Chocolate Cake,Key lime Pie,Monte Fuji,Edamame,Mashed Poatatoes,Truffle Fries,Fried Rice,Tenderloin Kuban,Skirt Steak,Lamb Osoducco,Salmon Reisui,Sea food katsura,Gunkan Taco,Gunkan Sake,Gunkan Ebi,Gunkan Kani,Sushi Toki,Gunkan uni,Gunkan Ikura,Gukan Arcoiris,Hotate Trufado,Negui Hama,Iku sake,Makano,Pesca Blanca,Blu fin toro,Tuna,Hand Roll Saslmon,Hand Roll Hamachi,Hand Roll Tuna,Passion roll,Butter Truffle Roll,Pangora Especial,Cumbaya,Spicy tuna,Samurai ebi,Samurai Salmon,Lobster,Fire roll crab,Tokio,Guayas,Noe Special,Special Tuna,Nubori,Kanebi,Ebi Zu,Cevichihi,Kani Kiuri Maki,Tuna Light,Kani Maguro,Sake Kani Special,Special Philadelphia,Special California,Eel Especial,Teka Maki,Sake maki,Piladelphia,Calirfornia,Hiyashi Wakame,Kani Seaweed,Pork tenderloin Ramen,Beef tenderloin Ramen,Miso Soup,Kamasuki Soup,Sumashi Soup,Pork Tacos,Truffled Dompling,Mizu Tako,Pangora By Fay Tu,Shrimp By Fay Tu,Octopus By Fay Tu,Sake Foie,Tuna Foie,Fresh Oysters,Maki Tartar,Tuna Tartar,Toni Doki,Hamachi Jalapeño,Noe Tataki
Samurai ebi,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai ebi,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai Salmon,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai Salmon,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai Salmon,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll ebi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll ebi,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll ebi,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll crab,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll crab,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire roll crab,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokio,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokio,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokio,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayas,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayas,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayas,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noe Special,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noe Special,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noe Special,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Tuna,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Tuna,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Tuna,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubori,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubori,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubori,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanebi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanebi,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanebi,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebi Zu,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebi Zu,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebi Zu,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cevichihi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cevichihi,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cevichihi,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Kiuri Maki,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Kiuri Maki,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Kiuri Maki,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Light,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Light,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Light,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Maguro,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Maguro,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kani Maguro,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sake Kani.S,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sake Kani.S,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sake Kani.S,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Philadelphia,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Philadelphia,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Philadelphia,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Especial,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,
California Especial,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,
California Especial,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,
Eel Especial,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,
Eel Especial,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,
Eel Especial,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,
Teka Maki,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Traditional Rolls,,,,,,,,,,,,,,,,,,,,,,,,
Teka Maki,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,
Teka Maki,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,
Sake Maki,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Traditional Rolls,,,,,,,,,,,,,,,,,,,,,,,
Sake Maki,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,
Sake Maki,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,
Philadlephia,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Traditional Rolls,,,,,,,,,,,,,,,,,,,,,,
Philadlephia,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,
Philadlephia,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Traditional Rolls,,,,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,
California,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,
Hiyashi Wakame,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads,,,,,,,,,,,,,,,,,,,,
Hiyashi Wakame,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,
Hiyashi Wakame,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,
Kani Seaweed,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salads,,,,,,,,,,,,,,,,,,,
Kani Seaweed,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,
Kani Seaweed,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,
P.Ramen ,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,,,,,,
P.Ramen ,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,
P.Ramen ,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,
B.Ramen,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,,,,,
B.Ramen,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,
B.Ramen,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,
Miso Soup,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,,,,
Miso Soup,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,
Miso Soup,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,
Kamasuki Soup,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,,,
Kamasuki Soup,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,
Kamasuki Soup,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,
Sumashi Soup,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,,
Sumashi Soup,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,
Sumashi Soup,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,
Pork Tacos,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,,
Pork Tacos,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,
Pork Tacos,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,
Truffled Dompling,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Entrees,,,,,,,,,,,,
Truffled Dompling,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,
